Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Eqn,Note-Body,Note-Cilia,Keep
P2Movers_Week3_Well1_Bots1_33,10,Mover,Bot17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
P2Movers_Week3_Well1_Bots1_33,11,Mover,Bot18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
P2Movers_Week3_Well1_Bots1_33,11,Mover,Bot19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
P2Movers_Week3_Well1_Bots1_33,14,Mover,Bot22,6045.263771,4210,0.08175937,170,645,36.09239723,1.41795539,0.42487475,0.26249764,51492.56822,0.1174007,0.18662185,0.25473684,0.74526316,(x+y)>110&(y-x)>(0),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,14,Mover,Bot23,1113.698527,777,0.06061466,39,199,22.17329089,1.18495023,0.18905411,0.66888849,12818.68204,0.08688089,0.41914067,0.25476992,0.74523008,(x+y)>110&(y-x)<(0),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,16,Mover,Bot25,9921.939016,6055,0.052878,291,1067,49.21630122,1.25515996,0.24445331,0.23959029,114508.8624,0.08664778,0.24967215,0.22189759,0.77810241,(y-0.1*x>-5)&(y+x)<(258),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,16,Mover,Bot26,1231.009719,452,0.01966471,31,178,20.95754748,1.12584682,0.15289109,0.30444279,22985.33949,0.0535563,0.55045606,0.20491803,0.79508197,(y-0.1*x>-5)&(y+x)>(259),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,18,Mover,Bot28,3371.938516,2154,0.1016665,111,458,28.2957066,1.4882191,0.4631458,0.5612262,21186.91673,0.1591519,0.3488758,0.3156028,0.6843972,(x>110),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,18,Mover,Bot29,1572.730479,622,0.04079594,38,241,19.9323922,1.37102781,0.35320195,0.45988119,15246.61698,0.10315275,0.37041478,0.24378882,0.75621118,(x<110),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week3_Well1_Bots1_33,21,Mover,Bot32,3613.238142,1320,0.03533223,85,414,32.90357804,1.57921341,0.52121762,0.27055336,37359.65921,0.09671497,0.26145422,0.23387668,0.76612332,(y+0.2*x)>30&y>5&(y+x)>(190),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,21,Mover,Bot33,595.1835765,214,0.01304445,13,103,24.70354301,1.17493973,0.1827601,0.68256545,16405.4442,0.03627964,0.70751661,0.19230769,0.80769231,(y+0.2*x)>30&y>5&(y+x)<(190),TWOBOT,TWOBOT,FALSE
P2Movers_Week3_Well2_Bots1_18,1,Mover,Bot2,637.4597621,3936,0.45094324,96,100,21.08976842,1.47136028,0.47384546,0.65364731,8728.371272,0.07303307,0.13416806,0.40446212,0.59553788,y<75,TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well2_Bots1_18,1,Mover,Bot3,1287.630532,178,0.006486936,5,127,23.51522014,1.220419126,0.216411245,0.179987215,27439.76298,0.046925716,0.658982652,0.191011236,0.808988764,x>105,NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week3_Well2_Bots1_18,1,Mover,Bot4,796.9697816,4738,0.5943174,113,105,17.00326683,1.15892547,0.15841318,0.7219018,7972.171123,0.09996898,0.05126043,0.45733652,0.54266348,y>75&x<105,TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well2_Bots1_18,4,Mover,Bot7,2357.393032,930,0.08668586,61,439,21.1254982,1.32243273,0.31153026,0.70076291,10728.39314,0.21973403,0.08965232,0.38501561,0.61498439,x>115,TWOBOT,OVEREXPOSED_FIXED,TRUE
P2Movers_Week3_Well2_Bots1_18,4,Mover,Bot8,3174.55798,2367,0.2032239,153,731,22.0952013,1.4256795,0.4914496,0.6168966,11647.25252,0.2725585,0.1382689,0.4284572,0.5715428,x<115,TWOBOT,OVEREXPOSED_FIXED,TRUE
Batch7_P1Movers_Bots10_36,5,Mover,Bot15,2381.408328,3419,0.2058828,146,195,20.041,1.1355547,0.1518851,0.558207,16606.53681,0.1434019,0.165991,0.2813731,0.7186269,x<140&y<150&(x+y)>(150),TWOBOT,TWOBOT,TRUE
Batch7_P1Movers_Bots10_36,5,Mover,Bot16,2060.359696,2185,0.1148906,71,65,21.6721541,1.3566062,0.4027083,0.3287713,19018.09163,0.1083368,0.4726026,0.1713796,0.8286204,x<140&y<150&(x+y)<(150),TWOBOT,TWOBOT,TRUE
Batch7_P1Movers_Bots10_36,10,Mover,Bot21,3713.154232,4150,0.1284286,134,212,24.7513197,1.178234,0.1905303,0.2046086,32313.68142,0.1149097,0.3469736,0.2133183,0.7866817,(y-x)<(-30),TWOBOT_FIXABLE,TWOBOT_FIXABLE,TRUE
